period,contract,strategy,signalEMA,slowEMA,volat_sd,m,gross_SR,net_SR,gross_CR,net_CR,gross_cumPnL,net_cumPnL,av_ntrades,stat
2023Q1,NQ,volatility_breakout_mom,10,90,90,2.0,3.016910366020319,2.7910158784591617,8.472004814701977,7.611951247510941,21282.920000000086,19734.920000000086,1.9846153846153847,6.832702056262106
2023Q3,NQ,volatility_breakout_mom,10,90,90,2.0,2.19976729623785,1.9951869526784705,10.385115369334397,9.210571624727367,12136.1199999999,11020.1199999999,1.4307692307692308,3.5880340605567476
2023Q4,NQ,volatility_breakout_mom,10,90,90,2.0,3.5211123332522165,3.3496276820968443,16.29019204746544,15.299861211062039,15898.400000000001,15118.400000000001,1.015625,7.739339570517814
2024Q2,NQ,volatility_breakout_mom,10,90,90,2.0,-1.9929005150544337,-2.1184515276273803,-3.2804321033223847,-3.3542944429589245,-15041.600000000108,-16013.600000000108,1.2461538461538462,-7.262113913649766
2024Q4,NQ,volatility_breakout_mom,10,90,90,2.0,3.4260186498010343,3.3232494168038706,26.797882098670836,25.661259995212124,25880.47999999966,25100.47999999966,1.0,9.099013756955136
2025Q1,NQ,volatility_breakout_mom,10,90,90,2.0,2.8260714544812644,2.693307594882679,7.986557405209243,7.274849025109521,18132.639999999956,17280.639999999956,1.126984126984127,6.250020370118854
2025Q2,NQ,volatility_breakout_mom,10,90,90,2.0,1.7105671182025597,1.629612537424491,11.432155152191475,10.07754599725709,20035.36,19087.36,1.2153846153846153,3.3312571221991383
2023Q1,SP,volatility_breakout_mr,90,180,60,1.0,-1.0173397477341208,-1.3579722851831875,-1.8199727166598156,-2.2980383308484016,-6772.549999999979,-8992.549999999977,2.8461538461538463,-4.0808437439369145
2023Q3,SP,volatility_breakout_mr,90,180,60,1.0,1.9803436921984596,1.524023505102529,7.184576949209701,5.20598122620633,8864.150000000063,6764.150000000063,2.6923076923076925,1.9575608188004059
2023Q4,SP,volatility_breakout_mr,90,180,60,1.0,-0.19780421886076596,-0.6251843655604529,-0.3552106093554178,-0.998502246340091,-869.0999999998894,-2729.0999999998894,2.421875,-1.1296534679173593
2024Q2,SP,volatility_breakout_mr,90,180,60,1.0,4.4032739735312525,4.031115043699048,22.304029496858394,19.113654446243487,20764.09999999978,18880.09999999978,2.4153846153846152,10.37479897363905
2024Q4,SP,volatility_breakout_mr,90,180,60,1.0,-0.12336450064479965,-0.5415021612416445,-0.22949986446759085,-0.8698770279024706,-559.4000000004144,-2443.4000000004144,2.4153846153846152,-0.9304681490682729
2025Q1,SP,volatility_breakout_mr,90,180,60,1.0,3.4920481577965705,3.2100420684810227,20.869348300592854,18.301337092571575,23424.800000000047,21420.800000000047,2.6507936507936507,8.304551051203957
2025Q2,SP,volatility_breakout_mr,90,180,60,1.0,3.4619516253874028,3.2909622991139305,19.437874867908,18.246300258283338,37043.999999999825,35111.999999999825,2.476923076923077,9.931759219886704
